,Auteur,Identifiant auteur,Titre,Directeur de these,Directeur de these (nom prenom),Identifiant directeur,Etablissement de soutenance,Identifiant etablissement,Discipline,Statut,Date de premiere inscription en doctorat,Date de soutenance,Year,Langue de la these,Identifiant de la these,Accessible en ligne,Publication dans theses.fr,Mise a jour dans theses.fr,Discipline_prÃ©di,Genre,etablissement_rec,Langue_rec
794,Luminita-lavinia Gheorghe,,Plurilinguisme et multilinguisme dans le cadre de l'union europeenne : le cas des langues romanes.,Teddy Arnavielle,Arnavielle Teddy,78661110,Montpellier 3,26404702,Sciences du langage,enCours,01-10-05,,,na,s35944,non,26-09-11,22-01-15,Langues et Litteratures,unknown,Université Paul-Valéry - Montpellier 3,NA
795,Alexandra Dedeyan,,Etude de la revision orthographique : le cas de la detection d'erreurs d'accord verbal chez le novice et l'expert.,Pierre Largy,Largy Pierre,78878373,Toulouse 2,26403994,Psychologie,enCours,01-01-05,23-06-05,2005.0,na,s29365,non,26-09-11,04-04-16,Psychologie,female,Université Toulouse - Jean Jaurès,NA
796,Arnaud Degouys,,"Quand-a-soi, entre soi et rapport a l'autre en lotissement periurbain.",Raymonde Sechet,Sechet Raymonde,29713595,Rennes 2,54447658,Geographie,enCours,01-12-04,,,na,s29392,non,26-09-11,05-04-16,SHS,male,Université Rennes 2,NA
797,Jean-charles Denain,,Un outil d'aide a la decision : la transcription graphique du risque naturel en france. diagnostic critique et propositions.,Jean-Marie Miossec,Miossec Jean-Marie,60596511,Montpellier 3,26404702,Geographie,enCours,01-11-04,,,na,s29396,non,26-09-11,04-04-16,SHS,male,Université Paul-Valéry - Montpellier 3,NA
798,Claire Delle luche,,Role du relativiseur dans l'attachement des propositions relatives ambigues en francais,Harriet Jisa,Jisa Harriet,55737595,Lyon 2,02640334X,Sciences cognitives,enCours,01-10-04,16-10-08,2008.0,na,s29418,non,26-09-11,08-04-13,Biologie,female,Université Lumière - Lyon 2,NA
799,Valerie Dijaux,,"Edition critique et traduction de 'the bloody brother, or rollo, duke of normandy' de john fletcher.",Charles Whitworth,Whitworth Charles,na,Montpellier 3,26404702,Etudes anglophones,enCours,01-11-04,,,na,s29448,non,26-09-11,22-01-15,Langues et Litteratures,female,Université Paul-Valéry - Montpellier 3,NA
800,Gerard Dahan,,L'aventure de la post-humanite chez bruce sterling et les ecrivains cyberpunks.,Mathieu Duplay,Duplay Mathieu,55130860,Lille 3,26404524,Etudes nord-americaines,enCours,01-11-04,,,na,s29453,non,26-09-11,22-01-15,Biologie,male,Université de Lille,NA
801,Ludovic Desiles,,"Litterature et sculpture : ecrire le toucher, ecrire la chair",William Marx,Marx William,na,Orleans,26402971,Litteratures et civilisations comparees,enCours,13-11-08,,,na,s31154,non,26-09-11,22-01-15,Langues et Litteratures,male,Université d'Orléans,NA
802,Madalina Caralicea,,Reseau d'innovation : cluster et propriete juridique d'une marque collective,Regis Dumoulin,Dumoulin Regis,139576576,Angers,26402920,Sciences de gestion,enCours,23-12-08,,,na,s28065,non,26-09-11,05-04-16,Economie Gestion,female,Université d'Angers,NA
803,Manel Cherif,,Les roles des acteurs organisateurs dans la realisation et le maintien de l'alignement strategique des tic,Marc Bidan,Bidan Marc,na,Angers,26402920,Sciences de gestion,enCours,06-01-09,17-09-14,2014.0,na,s28066,non,26-09-11,21-01-15,Economie Gestion,male,Université d'Angers,NA
804,Lijun Cui,,L'importance du pays d'origine lors de l'achat d'un produit de luxe en chine. qu'en est-il de l'effet made in,Jan Schaaper,Schaaper Jan,na,Pau,26403668,Sciences de gestion,enCours,01-10-09,,,na,s28087,non,26-09-11,22-01-15,Economie Gestion,unknown,Université de Pau et des Pays de l'Adour,NA
805,Francesca Corradi,,"Eleves et enseignants a l'ecole. Modeles educatifs, relations intergenerationnelles et interculturelles en Italie et en France",Jean Davallon,Davallon Jean,na,Avignon,26369044,Sciences de l'information et de la communication,enCours,05-02-09,08-04-11,2011.0,na,s28093,non,26-09-11,03-04-13,SHS,female,Avignon Université,NA
806,Mohamed lamine Camara,,Etude comparative des aspects du processus de decentralisation en france et en republique de guinee,Serge Regourd,Regourd Serge,27093115,Toulouse 1,26404354,Droit public,enCours,01-10-09,,,na,s28094,non,26-09-11,22-01-15,Droit et Science Politique,male,Université Toulouse Capitole,NA
807,Sami Chenini,,Le co-commissariat aux comptes : contribution a l'accroissement de la qualite de l'audit financier dans le contexte tunisien.,"Francois Meyssonnier,Christine Noel","Meyssonnier Francois,Noel Christine",88468402,Nantes,26403447,Sciences de gestion,enCours,01-06-09,24-01-13,2013.0,na,s28096,non,26-09-11,05-04-16,Economie Gestion,male,Université de Nantes,NA
808,Xavier Cesari,,Une politique regionale en faveur dune education a lenvironnement vers un developpement durable,Jean-Marie Comiti,Comiti Jean-Marie,52196852,Corte,29473284,Sciences de l'education,enCours,27-10-09,14-12-15,2015.0,na,s28108,non,26-09-11,05-04-16,Biologie,male,Université de Corse Pasquale Paoli,NA
809,Madalena Santana (Chiconela),,Decentralisation et education. Le regime juridique du transfert de competences de l'Etat aux collectivites territoriales au Mozambique.,Genevieve Koubi,Koubi Genevieve,30679869,Paris 8,26403552,Droit public,enCours,06-11-09,04-06-13,2013.0,na,s28506,non,26-09-11,05-04-16,Droit et Science Politique,female,Université Paris 8 - Vincennes - Saint-Denis,NA
810,Arnaud Deflou,,Le conflit de normes en droit communautaire,Helene Gaudin,Gaudin Helene,na,La Rochelle,35375043,Droit public,enCours,18-09-07,,,na,s30715,non,26-09-11,22-01-15,Droit et Science Politique,male,La Rochelle Université,NA
811,Issa Diallo,,Aspect et temps verbaux en francais et en peul : essai d'analyse contrastive.,Jean-Louis Rouge,Rouge Jean-Louis,29536421,Orleans,26402971,Sciences du langage,enCours,19-10-07,,,na,s30726,non,26-09-11,05-04-16,Langues et Litteratures,male,Université d'Orléans,NA
812,France Schneider (Dupuis),,Approche phenomenologique dans la semantique des noms de sentiment : le cas du mot amour,Pierre Cadiot,Cadiot Pierre,na,Orleans,26402971,Sciences du langage,enCours,07-03-06,,,na,s30733,non,26-09-11,22-01-15,Langues et Litteratures,female,Université d'Orléans,NA
813,Christine Burgevin (Descaves),,La direction d'ecole dans le premier degre : une affaire d'hommes ? contribution a une sociologie des personnels de direction des etablissements scolaires.,Gilles Combaz,Combaz Gilles,31359922,Lyon 2,02640334X,Sciences de l'education,enCours,07-12-07,21-12-12,2012.0,na,s30777,non,26-09-11,04-04-16,Biologie,female,Université Lumière - Lyon 2,NA
814,Franck Denion,,Les polices municipales en france,Francois Dieu,Dieu Francois,na,Toulouse 1,26404354,Science politique,enCours,10-09-07,,,na,s30791,non,26-09-11,22-01-15,Droit et Science Politique,male,Université Toulouse Capitole,NA
815,Vivien Dioux,,Effet de voisinage syllabique en decision lexicale : investigation des processus d'activation et d'inhibition,"Daniel Zagar,Marie francoise Lacassagne","Zagar Daniel,Lacassagne Marie francoise",na,Dijon,02819005X,Psychologie,enCours,14-10-10,28-11-14,2014.0,na,s32380,non,26-09-11,24-06-15,Psychologie,mostly_female,Université de Bourgogne,NA
816,Virginie Dubois,,"Le fait entrepreneurial en armenie, cle pour le developpement d'une economie emergente de l'ex urss. l'industrie agro-alimentaire dans un pays du sud caucase",Francoise Ardillier,Ardillier Francoise,35546298,Orleans,26402971,Geographie,enCours,06-11-08,,,na,s31155,non,26-09-11,05-04-16,SHS,female,Université d'Orléans,NA
817,Elizabeth Dah,,Entreprise et developpement durable.,Celine Castets-Renard,Castets-Renard Celine,77455711,Toulouse 1,26404354,Droit prive,enCours,01-10-08,,,na,s31181,non,26-09-11,05-04-16,Droit et Science Politique,female,Université Toulouse Capitole,NA
818,Eve Duca,161896944,L. Pirandello et L. Svevo : deux novateurs sur la scene francaise,",Paola Ranzini",",Ranzini Paola",33596360,Avignon,26369044,Etudes italiennes,enCours,21-10-08,08-03-13,2013.0,na,s31188,non,26-09-11,21-05-13,Langues et Litteratures,female,Avignon Université,NA
819,Olivier Dacla,,Les prestataires intermediaires dans la communication de l'information sur le reseau,Jerome Passa,Passa Jerome,34992898,Paris 2,26403145,Droit prive,enCours,11-12-08,,,na,s31198,non,26-09-11,17-03-15,Droit et Science Politique,male,Université Panthéon-Assas,NA
820,Mohamed Diare,,Le droit de la responsabilite administrative: un droit protecteur de l'administration.,Nathalie Jacquinot,Jacquinot Nathalie,na,Toulouse 1,26404354,Droit public,enCours,01-10-07,,,na,s31202,non,26-09-11,22-01-15,Droit et Science Politique,male,Université Toulouse Capitole,NA
821,Maelle Dreano,,La non discrimination en droit francais et europeen des contrats,Eric Savaux,Savaux Eric,34892133,Poitiers,26403765,Droit prive,enCours,17-10-08,,,na,s31236,non,26-09-11,05-04-16,Droit et Science Politique,unknown,Université de Poitiers,NA
822,Viviane Dartige du fournet,,Le substrat medieval dans l'oeuvre de francois-marie luzel,Francis Favereau,Favereau Francis,29288940,Rennes 2,54447658,"Etudes regionales (celtiques, corses, ...)",enCours,01-09-05,,,na,s29829,non,26-09-11,22-01-15,Langues et Litteratures,female,Université Rennes 2,NA
823,Yannick Dabo,,Etude sur le theatre breton pre-moderne. le mystere de ''la creation du monde'' : analyse critique.,Francis Favereau,Favereau Francis,29288940,Rennes 2,54447658,"Etudes regionales (celtiques, corses, ...)",enCours,01-09-05,,,na,s29830,non,26-09-11,22-01-15,Langues et Litteratures,male,Université Rennes 2,NA
824,Benjamin Dreux,,Etude psycho-physiologique des effets de la pratique de la meditation tibetaine.,"Olivier Buttelli,Deborah Nourrit-Lucas","Buttelli Olivier,Nourrit-Lucas Deborah",126490163,Orleans,26402971,Sciences du sport (staps),enCours,01-01-06,,,na,s29876,non,26-09-11,06-04-16,Poubelle,male,Université d'Orléans,NA
825,Aline Denoual,,Hermeneutique biblique et intertextualite dans l'oeuvre de sylvie germain.,Arlette Bouloumie,Bouloumie Arlette,29037441,Angers,26402920,Litteratures francaise et francophone,enCours,01-12-06,,,na,s30270,non,26-09-11,05-04-16,Langues et Litteratures,female,Université d'Angers,NA
826,Dominique Denimal,,L'engagement benevole et militant des familles de personnes en situation de handicap mental,"Martine Mespoulet,Laurent Willemez","Mespoulet Martine,Willemez Laurent","669,923,380",Poitiers,26403765,Sociologie,enCours,10-11-06,,,na,s30284,non,26-09-11,22-01-15,SHS,andy,Université de Poitiers,NA
827,Philippe Duret,,Le processus de recomposition urbaine d'une ville nouvelle a travers ses territoires et son systeme educatif.,Jean-Claude Lugan,Lugan Jean-Claude,02699769X,Toulouse 1,26404354,Sociologie,enCours,06-11-06,,,na,s30290,non,26-09-11,05-04-16,SHS,male,Université Toulouse Capitole,NA
828,Saleh Diab,,La poesie arabe contemporaine : le poeme en prose.,Jacqueline Chabbi,Chabbi Jacqueline,na,Paris 8,26403552,Litteratures et civilisations comparees,enCours,01-12-06,22-12-12,2012.0,na,s30330,non,26-09-11,04-04-16,Langues et Litteratures,male,Université Paris 8 - Vincennes - Saint-Denis,NA
829,Dalila Djedidi,,Les enjeux securitaires en Mediterranee,Jean-Paul Pancracio,Pancracio Jean-Paul,29474310,Poitiers,26403765,Droit public,enCours,01-10-09,,,na,s32047,non,26-09-11,05-04-16,Droit et Science Politique,female,Université de Poitiers,NA
830,Anne-claire Dumouchel,,La lutte contre les activites illegales en mer,Jean-Paul Pancracio,Pancracio Jean-Paul,29474310,Poitiers,26403765,Droit public,enCours,01-09-09,,,na,s32048,non,26-09-11,05-04-16,Droit et Science Politique,female,Université de Poitiers,NA
831,Estelle Simonneau (Devoto),,Prison et amendement au xixe siecle : discours et pratiques,Jean pierre Alline,Alline Jean pierre,na,Pau,26403668,Droit public,enCours,10-12-10,,,na,s32384,non,26-09-11,22-01-15,Droit et Science Politique,female,Université de Pau et des Pays de l'Adour,NA
832,Colette Djadeu nguemedyam,,La coordination humanitaire comme mode de mediation entre les organisations humanitaires,"Odile Riondet,Dana Popescu-Jourdy,Laurent charles Boyomo assale","Riondet Odile,Popescu-Jourdy Dana,Boyomo assale Laurent charles",3.11E+08,Lyon 2,02640334X,Sciences de l'information et de la communication,enCours,14-12-10,07-06-13,2013.0,na,s32388,non,26-09-11,30-03-16,SHS,female,Université Lumière - Lyon 2,NA
833,Alfredo Da gama e abreu valladao,,Bresil: de la rente a la competition  lemergence dun acteur politique global dans le monde de lapres-guerre froide,Patrick A. Messerlin,Messerlin Patrick A.,85852821,"Paris, Institut d'etudes politiques",27918459,Science politique,enCours,01-10-10,23-04-12,2012.0,na,s32449,non,26-09-11,04-04-16,Droit et Science Politique,male,Sciences Po,NA
834,Josiane Teamotuaitau (Di giorgio),,L'alterite a la presqu'ile de tahiti. de samuel wallis a frederick o'brien (1767-1921),Serge Dunis,Dunis Serge,28275802,Polynesie francaise,67101925,Civilisation britannique,enCours,07-12-07,29-11-12,2012.0,na,s32482,non,26-09-11,07-05-13,Langues et Litteratures,female,Université de la Polynésie Française,NA
835,Julia Drouhin,,L'oeuvre de la marche : creer dans les pas d'artistes flaneurs. elements theoriques pour une cartographie sonore et mouvante d'espaces d'ambulation en expansion.,Daniel Danetis,Danetis Daniel,77104781,Paris 8,26403552,Arts plastiques,enCours,02-11-06,06-10-11,2011.0,na,s32825,non,26-09-11,13-04-16,Biologie,female,Université Paris 8 - Vincennes - Saint-Denis,NA
836,Alexandre Dodu,,Amenagement et management des equipements sportifs de nature en region centre : une analyse territoriale entre element identitaire structurant et developpement du territoire,Laurent Touchart,Touchart Laurent,35588748,Orleans,26402971,Geographie,enCours,07-11-08,,,na,s31623,non,26-09-11,22-01-15,SHS,male,Université d'Orléans,NA
837,Armelle Baidouri (Dufour),,L'identite numerique des 18/25 ans : un enjeu sociologique et commercial?,"Francis Balle,Laurent Flores","Balle Francis,Flores Laurent",26702606,Paris 2,26403145,Sciences de l'information et de la communication,enCours,09-10-09,04-12-13,2013.0,na,s31682,non,26-09-11,27-02-15,SHS,female,Université Panthéon-Assas,NA
838,Elhadji yoro Deme,,Fondements et evolution des approches neo-schumperiennes de la croissance theories appreciatives vers theories formalisees,Christian Le Bas,Le Bas Christian,02697133X,Lyon 2,02640334X,Sciences economiques,enCours,13-10-09,05-03-10,2010.0,na,s31683,non,26-09-11,30-03-16,Economie Gestion,unknown,Université Lumière - Lyon 2,NA
839,Yorsa Daoud,,La modernisation du droit de la societe anonyme : etude comparative des droits tunisien et francais,Catherine Ginestet,Ginestet Catherine,53480066,Toulouse 1,26404354,Droit prive,enCours,01-10-09,,,na,s31685,non,26-09-11,22-01-15,Droit et Science Politique,unknown,Université Toulouse Capitole,NA
840,Abdoulaye Diop,,Maitrise du risque juridique et systemes de paiement en afrique.,Moussa Thioye,Thioye Moussa,81958595,Toulouse 1,26404354,Droit prive,enCours,18-01-10,,,na,s32069,non,26-09-11,22-01-15,Droit et Science Politique,unknown,Université Toulouse Capitole,NA
841,Amine El hamami,,La protection du consommateur de credit: de l'experience francaise a la gestation du droit marocain.,Francine Macorig-Venier,Macorig-Venier Francine,34572449,Toulouse 1,26404354,Droit prive,enCours,27-10-10,,,na,s33721,non,26-09-11,05-04-16,Droit et Science Politique,male,Université Toulouse Capitole,NA
842,Marco Follador,,Modelisations spatio-territorielles de dynamiques d'occupation du sol par approches geomatique et geostatistique,"Martin Paegelow,Roberto Bruno","Paegelow Martin,Bruno Roberto","832,014,321",Toulouse 2,26403994,Geographie et amenagement,enCours,01-10-05,07-03-08,2008.0,na,s34166,non,26-09-11,04-04-16,SHS,male,Université Toulouse - Jean Jaurès,NA
843,Elisa Farran,,La presence du jazz dans les arts plastiques depuis la fin de la seconde guerre mondiale sur la scene artistique francaise et americaine,"Jean-Roger Soubiran,Jean-Yves Bosseur","Soubiran Jean-Roger,Bosseur Jean-Yves",27144267,Poitiers,26403765,Histoire de l'art,enCours,01-10-05,,,na,s34217,non,26-09-11,06-04-16,SHS,female,Université de Poitiers,NA
844,Sylvie Croisy,181978245,"Haiti : ecole-borlette et reforme, une union possible",Dominique Ottavi,Ottavi Dominique,59734736,"Ecole doctorale Pratiques et theories du sens (Saint-Denis, Seine-Saint-Denis)",110349164,Sciences de l'education,soutenue,,01-01-12,2012.0,fr,2012PA084011,non,26-09-11,04-04-16,Biologie,female,na,Français
845,Eva CARRERE - NARANJO,,L'Interet de la prise en compte du sujet de l'inconscient dans le traitement de la psychose.,Sophie Marret,Marret Sophie,33759014,Paris 8,26403552,Psychanalyse,enCours,05-12-07,09-01-13,2013.0,na,s27731,non,26-09-11,04-04-16,Biologie,female,Université Paris 8 - Vincennes - Saint-Denis,NA
846,Cecile Charleux,,Histoire culturelle des relations internationales franco-canadienne,Jerome Grevy,Grevy Jerome,35611766,Poitiers,26403765,Histoire moderne et contemporaine,enCours,26-11-08,,,na,s27749,non,26-09-11,05-04-16,SHS,female,Université de Poitiers,NA
847,Sandrine Carteron-farrugia,,Les droits des agents sportifs.,Hugues Kenfack,Kenfack Hugues,68707673,Toulouse 1,26404354,Droit prive,enCours,01-10-08,,,na,s27754,non,26-09-11,22-01-15,Droit et Science Politique,female,Université Toulouse Capitole,NA
